
Quadro extraído em 10 de Junho de 2026 (16:28:10)
http://www.ine.pt



Período de referência dos dados;Local de residência à data dos Censos [2021] (NUTS - 2013);População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2013), Sexo e Grupo etário (Por ciclos de vida) -  Decenal;;;;;;;;;;;;
;;Sexo;;;;;;;;;;;;
;;HM;;;;H;;;;M;;;;
;;Grupo etário (Por ciclos de vida);;;;;;;;;;;;
;;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;
;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
;1801: Armamar;5678;538;2846;1747;2670;277;1393;724;3008;261;1453;1023;
;0403: Carrazeda de Ansiães;5490;418;2536;2046;2633;212;1302;887;2857;206;1234;1159;
;0404: Freixo de Espada à Cinta;3216;247;1447;1200;1532;128;733;513;1684;119;714;687;
;1805: Lamego;24312;2531;12891;6346;11493;1279;6238;2684;12819;1252;6653;3662;
;1704: Mesão Frio;3547;354;1844;1023;1655;183;886;419;1892;171;958;604;
;1807: Moimenta da Beira;9410;937;4638;2768;4489;473;2250;1210;4921;464;2388;1558;
;1707: Murça;5245;433;2493;1872;2531;245;1233;821;2714;188;1260;1051;
;1812: Penedono;2738;268;1294;944;1292;141;644;388;1446;127;650;556;
;1708: Peso da Régua;14540;1466;7669;3855;6833;736;3689;1618;7707;730;3980;2237;
;1710: Sabrosa;5548;499;2693;1810;2661;244;1342;813;2887;255;1351;997;
;1711: Santa Marta de Penaguião;6100;577;3029;1950;2898;316;1466;842;3202;261;1563;1108;
;1815: São João da Pesqueira;6775;681;3489;1893;3321;360;1752;835;3454;321;1737;1058;
;1818: Sernancelhe;5692;536;2808;1823;2750;268;1407;816;2942;268;1401;1007;
;1819: Tabuaço;5034;466;2515;1594;2375;226;1219;694;2659;240;1296;900;
;1820: Tarouca;7363;793;3847;1807;3527;405;1861;800;3836;388;1986;1007;
;0409: Torre de Moncorvo;6826;474;3034;2777;3224;242;1509;1193;3602;232;1525;1584;
;0914: Vila Nova de Foz Côa;6304;502;2986;2261;2992;255;1518;957;3312;247;1468;1304;
;1714: Vila Real;49571;5180;26754;11665;23376;2636;12610;5033;26195;2544;14144;6632;
;0401: Alfândega da Fé;4324;326;2007;1638;2089;156;993;763;2235;170;1014;875;
;0402: Bragança;34582;3677;17413;9748;16514;1880;8382;4342;18068;1797;9031;5406;
;0405: Macedo de Cavaleiros;14251;1256;6768;4941;6773;613;3316;2190;7478;643;3452;2751;
;0406: Miranda do Douro;6463;486;2907;2509;3133;257;1454;1129;3330;229;1453;1380;
;0407: Mirandela;21384;1969;10387;6869;10123;966;5005;3062;11261;1003;5382;3807;
;0408: Mogadouro;8301;562;3930;3142;4011;284;2004;1400;4290;278;1926;1742;
;0410: Vila Flor;6050;524;2846;2144;2920;277;1393;957;3130;247;1453;1187;
;0411: Vimioso;4149;287;1747;1819;2011;142;887;831;2138;145;860;988;
