
Quadro extraído em 10 de Junho de 2026 (16:28:10)
http://www.ine.pt



Período de referência dos dados;Local de residência à data dos Censos [2021] (NUTS - 2013);População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2013), Sexo e Grupo etário (Por ciclos de vida) -  Decenal;;;;;;;;;;;;
;;Sexo;;;;;;;;;;;;
;;HM;;;;H;;;;M;;;;
;;Grupo etário (Por ciclos de vida);;;;;;;;;;;;
;;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;
;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
;0709: Portel;5747;556;2868;1657;2811;305;1458;699;2936;251;1410;958;
;0710: Redondo;6286;608;3236;1734;3076;319;1649;749;3210;289;1587;985;
;0711: Reguengos de Monsaraz;9871;980;5049;2627;4778;528;2519;1098;5093;452;2530;1529;
;0712: Vendas Novas;11245;1152;5407;3320;5406;605;2659;1427;5839;547;2748;1893;
;0713: Viana do Alentejo;5318;536;2708;1390;2536;278;1337;581;2782;258;1371;809;
;0714: Vila Viçosa;7387;706;3927;1946;3564;345;1956;835;3823;361;1971;1111;
;0801: Albufeira;44164;4639;25407;8017;21625;2456;12273;3733;22539;2183;13134;4284;
;0802: Alcoutim;2523;168;998;1199;1236;89;525;539;1287;79;473;660;
;0803: Aljezur;6045;481;3164;1626;3019;253;1603;762;3026;228;1561;864;
;0804: Castro Marim;6439;545;3096;2093;3163;269;1543;1009;3276;276;1553;1084;
;0805: Faro;67622;7024;36569;14836;32139;3580;17465;6426;35483;3444;19104;8410;
;0806: Lagoa;23725;2477;12475;5553;11606;1263;6070;2602;12119;1214;6405;2951;
;0807: Lagos;33494;3278;17630;8289;16267;1704;8477;3875;17227;1574;9153;4414;
;0808: Loulé;72332;7044;38604;16910;34976;3611;18566;7818;37356;3433;20038;9092;
;0809: Monchique;5462;405;2668;1839;2738;197;1360;894;2724;208;1308;945;
;0810: Olhão;44614;4554;23447;10231;21820;2340;11461;4657;22794;2214;11986;5574;
;0811: Portimão;59845;6038;31809;13431;28738;3160;15178;6032;31107;2878;16631;7399;
;0812: São Brás de Alportel;11248;1030;5789;2926;5426;550;2782;1315;5822;480;3007;1611;
;0813: Silves;37766;3430;19793;9436;18587;1791;9783;4403;19179;1639;10010;5033;
;0814: Tavira;27523;2389;13871;8064;13579;1253;6865;3828;13944;1136;7006;4236;
;0815: Vila do Bispo;5717;452;2958;1578;2792;221;1471;738;2925;231;1487;840;
;0816: Vila Real de Santo António;18824;1875;9506;4921;9064;966;4549;2292;9760;909;4957;2629;

População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2013), Sexo e Grupo etário (Por ciclos de vida) -  Decenal - INE, Recenseamento da população e habitação - Censos 2021


Última atualização destes dados: 23 de novembro de 2022


Metainformação associada ao quadro

População residente (N.º)
Designação;População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2013), Sexo e Grupo etário (Por ciclos de vida) -  Decenal
Periodicidade;Decenal
Fonte;INE, Recenseamento da população e habitação - Censos 2021
Primeiro período disponível;2011
Último período disponível;2021
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência à data dos Censos [2021] (NUTS - 2013)
     Dimensão 3;Sexo
     Dimensão 4;Grupo etário (Por ciclos de vida)
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     SEXO;Características biológicas e fisiológicas que definem homens e mulheres.
     LOCAL DE RESIDÊNCIA HABITUAL;Local onde a pessoa passa habitualmente o seu período de descanso quotidiano (independentemente de ausências temporárias por motivos de lazer, férias, visita a amigos e familiares, atividade profissional, tratamento médico ou outras), e onde vive ou tem a intenção de viver a maior parte do ano, tendo por referência os últimos 12 meses.
     GRUPO ETÁRIO;Intervalo de idade, em anos, no qual o indivíduo se enquadra, de acordo com o momento de referência
     POPULAÇÃO RESIDENTE;Conjunto de pessoas que, independentemente de estarem presentes ou ausentes num determinado alojamento no momento de observação, viveram no seu local de residência habitual por um período contínuo de, pelo menos, 12 meses anteriores ao momento de observação, ou que chegaram ao seu local de residência habitual durante o período correspondente aos 12 meses anteriores ao momento de observação, com a intenção de aí permanecer por um período mínimo de um ano.
Definição;
Fórmula;Contagem
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;23-Nov-2022
